priority_rank,company_id,propensity_score,converted_30d_actual,signal_1,signal_2,signal_3,EMPLOYEE_RANGE,ALEXA_RANK,INDUSTRY,llm_sales_brief
17,3903,0.638,,Long active usage tenure (SHAP: +5.769),Long time on free tier (SHAP: +0.965),High CONTACTS users (30d) (SHAP: +0.635),18.0,1207682.0,UNKNOWN,"The company's long active usage tenure indicates a strong familiarity with the product, while the high number of CONTACTS users in the past 30 days suggests they are deriving value from the service, making them more likely to convert despite their extended time on the free tier."
18,4988,0.637,,Long active usage tenure (SHAP: +4.654),Uses multiple CRM modules (SHAP: +1.662),Broad multi-module adoption (SHAP: +1.051),3.0,16000001.0,UNKNOWN,"The company's long active usage tenure indicates a strong commitment to the platform, while their use of multiple CRM modules and broad multi-module adoption suggest they are effectively leveraging the system's capabilities, making them likely to convert."
19,3490,0.632,,Long active usage tenure (SHAP: +5.719),High CONTACTS users (30d) (SHAP: +1.047),High CONTACTS users (60d) (SHAP: +0.398),8.0,16000001.0,MARKETING,"The company's long active usage tenure indicates a strong commitment to the platform, while the high number of CONTACTS users in both the 30-day and 60-day periods demonstrates consistent reliance on the service, making conversion highly likely."
20,616,0.627,,Long active usage tenure (SHAP: +5.657),Long time on free tier (SHAP: +1.016),High CONTACTS users (30d) (SHAP: +0.876),3.0,16000001.0,UNKNOWN,"The company's long active usage tenure indicates a strong familiarity with the product, while their extended time on the free tier suggests they see value in it, and the high number of CONTACTS users in the past 30 days reflects a growing reliance on the service, making them likely to convert."
21,4228,0.627,,Long active usage tenure (SHAP: +5.209),High CONTACTS users (30d) (SHAP: +0.606),High USERS users (14d) (SHAP: +0.363),8.0,16000001.0,MACHINERY,
22,1436,0.622,,Long active usage tenure (SHAP: +6.235),High USERS users (60d) (SHAP: +1.943),High CONTACTS users (60d) (SHAP: +1.809),18.0,16000001.0,UNKNOWN,
23,2117,0.621,,Long active usage tenure (SHAP: +5.568),High DEALS actions (60d) (SHAP: +0.545),High USERS users (14d) (SHAP: +0.442),3.0,9493029.0,UNKNOWN,
24,5001,0.619,,Long active usage tenure (SHAP: +4.130),High USERS users (14d) (SHAP: +0.608),High USERS users (30d) (SHAP: +0.576),8.0,3780704.0,TECH,
25,2427,0.618,,Long active usage tenure (SHAP: +5.998),High USERS users (14d) (SHAP: +0.555),High USERS users (30d) (SHAP: +0.404),38.0,16000001.0,UNKNOWN,
26,4927,0.61,,Long active usage tenure (SHAP: +4.862),Uses multiple CRM modules (SHAP: +1.033),Long time on free tier (SHAP: +0.473),18.0,16000001.0,UNKNOWN,
27,4209,0.609,,Long active usage tenure (SHAP: +5.911),Uses multiple CRM modules (SHAP: +1.693),High CONTACTS users (60d) (SHAP: +0.288),18.0,16000001.0,UNKNOWN,
28,3828,0.605,,Long active usage tenure (SHAP: +6.288),Uses multiple CRM modules (SHAP: +0.931),High CONTACTS users (30d) (SHAP: +0.839),8.0,16000001.0,CONSUMER ELECTRONICS,
29,4809,0.604,,Long active usage tenure (SHAP: +4.528),Strong web presence (low Alexa rank) (SHAP: +0.603),Broad multi-module adoption (SHAP: +0.450),18.0,3772095.0,TECH,
30,4054,0.599,,Long active usage tenure (SHAP: +4.291),High DEALS actions (30d) (SHAP: +0.993),High USERS users (30d) (SHAP: +0.876),8.0,16000001.0,CONSULTING,
31,3336,0.598,,Long active usage tenure (SHAP: +6.285),Uses multiple CRM modules (SHAP: +1.374),High DEALS actions (30d) (SHAP: +0.590),8.0,443647.0,UNKNOWN,
32,2045,0.595,,Long active usage tenure (SHAP: +3.722),High USERS users (14d) (SHAP: +0.711),High USERS users (60d) (SHAP: +0.423),3.0,16000001.0,UNKNOWN,
33,5182,0.592,,Long active usage tenure (SHAP: +4.683),High USERS users (30d) (SHAP: +1.314),High CONTACTS users (30d) (SHAP: +0.755),8.0,16000001.0,UNKNOWN,
34,5034,0.592,,Long active usage tenure (SHAP: +4.821),Uses multiple CRM modules (SHAP: +1.869),High DEALS actions (30d) (SHAP: +0.937),3.0,16000001.0,UNKNOWN,
35,5196,0.585,,Long active usage tenure (SHAP: +4.567),High USERS users (14d) (SHAP: +0.579),High USERS users (60d) (SHAP: +0.368),600.0,265293.0,UNKNOWN,
36,4176,0.585,,Long active usage tenure (SHAP: +3.459),High CONTACTS users (30d) (SHAP: +1.047),High USERS users (14d) (SHAP: +0.846),3.0,16000001.0,UNKNOWN,
37,4421,0.584,,Long active usage tenure (SHAP: +3.957),Broad multi-module adoption (SHAP: +1.039),Accelerating ACTIONS trend (60d) (SHAP: +0.526),600.0,16000001.0,CONSULTING,
38,2652,0.583,,Long active usage tenure (SHAP: +6.235),Uses multiple CRM modules (SHAP: +1.497),High CONTACTS users (60d) (SHAP: +0.284),600.0,25138.0,PUBLISHING,
39,4254,0.579,,Long active usage tenure (SHAP: +4.497),High USERS users (14d) (SHAP: +0.776),Uses multiple CRM modules (SHAP: +0.349),3.0,16000001.0,CONSULTING,
40,2166,0.576,,Long active usage tenure (SHAP: +5.458),High DEALS actions (30d) (SHAP: +1.020),High CONTACTS users (30d) (SHAP: +0.872),38.0,16000001.0,UNKNOWN,
41,2227,0.569,,Long active usage tenure (SHAP: +4.021),Uses multiple CRM modules (SHAP: +1.097),High CONTACTS users (30d) (SHAP: +0.574),3.0,16000001.0,UNKNOWN,
42,1901,0.566,,Long active usage tenure (SHAP: +3.869),High USERS users (14d) (SHAP: +0.699),High ACTIONS actions (60d) (SHAP: +0.659),3.0,16000001.0,UNKNOWN,
43,2740,0.557,,Long active usage tenure (SHAP: +3.737),High CONTACTS users (30d) (SHAP: +0.825),High CONTACTS users (60d) (SHAP: +0.401),3.0,16000001.0,UNKNOWN,
44,372,0.548,,Long active usage tenure (SHAP: +4.997),Uses multiple CRM modules (SHAP: +1.536),High USERS users (7d) (SHAP: +0.241),18.0,16000001.0,TECH,
45,203,0.54,,Long active usage tenure (SHAP: +5.529),Broad multi-module adoption (SHAP: +0.943),Uses multiple CRM modules (SHAP: +0.440),8.0,3093631.0,TECH,
46,3041,0.54,,Long active usage tenure (SHAP: +4.808),Accelerating ACTIONS trend (60d) (SHAP: +0.850),High USERS users (60d) (SHAP: +0.469),18.0,16000001.0,UNKNOWN,
47,3159,0.538,,Long active usage tenure (SHAP: +5.690),Uses multiple CRM modules (SHAP: +1.629),Broad multi-module adoption (SHAP: +0.366),3.0,16000001.0,UNKNOWN,
48,2360,0.537,,Long active usage tenure (SHAP: +4.658),High CONTACTS users (30d) (SHAP: +1.054),Accelerating ACTIONS trend (60d) (SHAP: +0.910),3.0,16000001.0,UNKNOWN,
49,4177,0.535,,Long active usage tenure (SHAP: +3.645),High ACTIONS actions (60d) (SHAP: +1.101),Accelerating ACTIONS trend (60d) (SHAP: +0.749),38.0,16000001.0,UNKNOWN,
50,2770,0.535,,Long active usage tenure (SHAP: +5.376),High USERS users (30d) (SHAP: +0.847),Broad multi-module adoption (SHAP: +0.665),38.0,4110064.0,UNKNOWN,
51,3967,0.535,,Long active usage tenure (SHAP: +5.280),High USERS users (60d) (SHAP: +0.593),Recently active (SHAP: +0.290),18.0,2731269.0,UNKNOWN,
52,4933,0.534,,Long active usage tenure (SHAP: +5.076),Broad multi-module adoption (SHAP: +0.811),High USERS users (7d) (SHAP: +0.176),8.0,2886469.0,COMMERCIAL REAL ESTATE,
53,2332,0.53,,Long active usage tenure (SHAP: +4.183),Accelerating usage growth (SHAP: +1.429),Long time on free tier (SHAP: +0.689),18.0,16000001.0,UNKNOWN,
54,957,0.53,,Long active usage tenure (SHAP: +5.386),Uses multiple CRM modules (SHAP: +1.527),High USERS users (7d) (SHAP: +0.211),3.0,16000001.0,UNKNOWN,
55,2064,0.513,,Long active usage tenure (SHAP: +4.441),Long time on free tier (SHAP: +1.322),Broad multi-module adoption (SHAP: +0.442),18.0,1217317.0,UNKNOWN,
56,2632,0.508,,Long active usage tenure (SHAP: +4.292),Uses multiple CRM modules (SHAP: +2.113),Broad multi-module adoption (SHAP: +0.389),18.0,16000001.0,UNKNOWN,
57,4691,0.507,,Long active usage tenure (SHAP: +6.097),High USERS users (60d) (SHAP: +2.492),High USERS users (30d) (SHAP: +0.635),3.0,16000001.0,UNKNOWN,
58,3585,0.5,,Long active usage tenure (SHAP: +3.749),Uses multiple CRM modules (SHAP: +2.108),Long time on free tier (SHAP: +0.896),,4983627.0,UNKNOWN,
59,2327,0.5,,Long active usage tenure (SHAP: +3.498),Uses multiple CRM modules (SHAP: +2.174),Broad multi-module adoption (SHAP: +0.414),3.0,16000001.0,UNKNOWN,
60,1902,0.499,,Long active usage tenure (SHAP: +5.740),High CONTACTS users (60d) (SHAP: +2.135),High CONTACTS users (30d) (SHAP: +0.897),600.0,16000001.0,EDUCATION,
61,995,0.499,,Long active usage tenure (SHAP: +5.136),Long time on free tier (SHAP: +2.032),Recently active (SHAP: +0.301),3.0,16000001.0,UNKNOWN,
62,2307,0.497,,Long active usage tenure (SHAP: +4.355),Accelerating ACTIONS trend (60d) (SHAP: +0.457),High CONTACTS users (30d) (SHAP: +0.353),38.0,1692234.0,TECH,
63,3379,0.496,,Long active usage tenure (SHAP: +4.239),Uses multiple CRM modules (SHAP: +2.541),Pct Actions Crm Contacts 60D (SHAP: +0.264),125.0,16000001.0,UNKNOWN,
64,4916,0.495,,Long active usage tenure (SHAP: +5.597),Uses multiple CRM modules (SHAP: +1.232),Pct Actions Crm Contacts 60D (SHAP: +0.465),18.0,4489573.0,UNKNOWN,
65,219,0.494,,Long active usage tenure (SHAP: +5.571),Uses multiple CRM modules (SHAP: +1.880),Broad multi-module adoption (SHAP: +0.713),38.0,16000001.0,UNKNOWN,
66,2323,0.494,,Long active usage tenure (SHAP: +5.410),High CONTACTS users (60d) (SHAP: +0.672),High USERS users (60d) (SHAP: +0.304),600.0,1838428.0,OTHER,
67,2683,0.494,,Long active usage tenure (SHAP: +4.965),Uses multiple CRM modules (SHAP: +1.492),Broad multi-module adoption (SHAP: +0.115),38.0,16000001.0,UNKNOWN,
68,4834,0.491,,Long active usage tenure (SHAP: +2.771),High CONTACTS users (30d) (SHAP: +0.836),High CONTACTS users (60d) (SHAP: +0.351),8.0,16000001.0,UNKNOWN,
69,2994,0.491,,Long active usage tenure (SHAP: +3.125),High ACTIONS actions (60d) (SHAP: +0.759),High CONTACTS users (30d) (SHAP: +0.693),8.0,16000001.0,CONSULTING,
70,727,0.485,,Long active usage tenure (SHAP: +5.012),High CONTACTS users (60d) (SHAP: +0.899),High CONTACTS users (30d) (SHAP: +0.574),5500.0,814822.0,IT_SERVICES,
71,3971,0.482,,Long active usage tenure (SHAP: +4.696),High USERS users (7d) (SHAP: +0.230),High ACTIONS actions (30d) (SHAP: +0.168),18.0,16000001.0,UNKNOWN,
72,3557,0.48,,Long active usage tenure (SHAP: +5.187),Uses multiple CRM modules (SHAP: +1.520),Actions Email Per User 60D (SHAP: +0.282),600.0,3103028.0,HEALTHCARE,
73,3974,0.478,,Long active usage tenure (SHAP: +4.194),Accelerating ACTIONS trend (60d) (SHAP: +0.255),High USERS users (7d) (SHAP: +0.240),3.0,16000001.0,UNKNOWN,
74,4827,0.477,,Long active usage tenure (SHAP: +3.615),Uses multiple CRM modules (SHAP: +1.470),Pct Actions Crm Contacts 60D (SHAP: +0.417),18.0,16000001.0,UNKNOWN,
75,661,0.476,,Long active usage tenure (SHAP: +4.903),High CONTACTS users (60d) (SHAP: +0.674),High CONTACTS users (30d) (SHAP: +0.326),5500.0,651208.0,DEFENSE SPACE,
76,3413,0.471,,Long active usage tenure (SHAP: +5.151),Long time on free tier (SHAP: +1.562),Broad multi-module adoption (SHAP: +0.246),18.0,3904857.0,UNKNOWN,
77,1794,0.468,,Long active usage tenure (SHAP: +5.229),Uses multiple CRM modules (SHAP: +1.949),High USERS users (7d) (SHAP: +0.244),8.0,16000001.0,UNKNOWN,
78,3092,0.463,,Long active usage tenure (SHAP: +4.043),High CONTACTS users (30d) (SHAP: +0.851),High USERS users (7d) (SHAP: +0.541),18.0,16000001.0,UNKNOWN,
79,622,0.461,,Long active usage tenure (SHAP: +2.552),Broad multi-module adoption (SHAP: +1.406),Company size signal (SHAP: +0.415),,16000001.0,UNKNOWN,
80,2901,0.455,,Long active usage tenure (SHAP: +4.177),High USERS users (14d) (SHAP: +0.883),Long time on free tier (SHAP: +0.838),38.0,4024257.0,UNKNOWN,
81,3166,0.453,,Long active usage tenure (SHAP: +4.393),Long time on free tier (SHAP: +1.739),High USERS users (7d) (SHAP: +0.208),3.0,16000001.0,UNKNOWN,
82,1709,0.451,,Long active usage tenure (SHAP: +2.659),Strong web presence (low Alexa rank) (SHAP: +1.456),Company size signal (SHAP: +0.646),8.0,7467662.0,CONSUMER SERVICES,
83,699,0.451,,Long active usage tenure (SHAP: +3.851),Accelerating ACTIONS trend (60d) (SHAP: +0.701),Strong web presence (low Alexa rank) (SHAP: +0.412),3.0,4539167.0,UNKNOWN,
84,3438,0.448,,Long active usage tenure (SHAP: +3.773),Uses multiple CRM modules (SHAP: +2.281),High CONTACTS users (30d) (SHAP: +0.744),8.0,16000001.0,UNKNOWN,
85,2508,0.448,,Long active usage tenure (SHAP: +3.895),Broad multi-module adoption (SHAP: +0.767),Company size signal (SHAP: +0.564),600.0,1425350.0,FOOD BEVERAGES,
86,980,0.448,,Long active usage tenure (SHAP: +3.501),High CONTACTS users (60d) (SHAP: +1.827),High USERS users (14d) (SHAP: +0.608),8.0,1408188.0,UNKNOWN,
87,2834,0.445,,Long active usage tenure (SHAP: +2.657),High CONTACTS users (60d) (SHAP: +0.512),High DEALS actions (60d) (SHAP: +0.491),3.0,4547312.0,UNKNOWN,
88,3186,0.443,,Long active usage tenure (SHAP: +3.641),Uses multiple CRM modules (SHAP: +1.930),High CONTACTS actions (60d) (SHAP: +0.359),8.0,16000001.0,IT_SERVICES,
89,22,0.443,YES,Long active usage tenure (SHAP: +3.503),Broad multi-module adoption (SHAP: +0.921),Pct Actions Crm Contacts 60D (SHAP: +0.808),38.0,3337894.0,IT_SERVICES,
90,300,0.439,,Long active usage tenure (SHAP: +4.537),Actions Email Per User 60D (SHAP: +0.319),Recently active (SHAP: +0.293),18.0,16000001.0,CONSULTING,
91,4210,0.437,,Long active usage tenure (SHAP: +3.526),Company size signal (SHAP: +0.539),Pct Actions Crm Contacts 60D (SHAP: +0.407),1.0,16000001.0,UNKNOWN,
92,4464,0.436,,Long active usage tenure (SHAP: +3.922),Strong web presence (low Alexa rank) (SHAP: +1.071),Recently active (SHAP: +0.309),38.0,2515234.0,CONSULTING,
93,260,0.433,,Long active usage tenure (SHAP: +3.300),Long time on free tier (SHAP: +1.207),Recently active (SHAP: +0.374),600.0,2059994.0,UNKNOWN,
94,4633,0.432,,Long active usage tenure (SHAP: +4.029),Broad multi-module adoption (SHAP: +2.123),Company size signal (SHAP: +0.374),,1516343.0,UNKNOWN,
95,4611,0.432,,Long active usage tenure (SHAP: +2.440),Strong web presence (low Alexa rank) (SHAP: +1.168),Broad multi-module adoption (SHAP: +0.838),8.0,7774459.0,UNKNOWN,
96,5197,0.431,,Long active usage tenure (SHAP: +2.373),Broad multi-module adoption (SHAP: +0.504),Recently active (SHAP: +0.455),8.0,16000001.0,UNKNOWN,
97,3498,0.428,,Long active usage tenure (SHAP: +2.983),Broad multi-module adoption (SHAP: +0.244),High USERS users (7d) (SHAP: +0.203),38.0,16000001.0,CONSULTING,
98,944,0.428,,Long active usage tenure (SHAP: +3.847),Uses multiple CRM modules (SHAP: +2.044),Accelerating ACTIONS trend (60d) (SHAP: +0.345),,16000001.0,UNKNOWN,
99,1731,0.425,,Long active usage tenure (SHAP: +5.106),Uses multiple CRM modules (SHAP: +2.237),Strong web presence (low Alexa rank) (SHAP: +0.303),3.0,6515311.0,UNKNOWN,
100,1208,0.425,,Long active usage tenure (SHAP: +3.506),Strong web presence (low Alexa rank) (SHAP: +0.880),Broad multi-module adoption (SHAP: +0.605),8.0,15184.0,UNKNOWN,
101,4055,0.423,,Long active usage tenure (SHAP: +3.178),Uses multiple CRM modules (SHAP: +2.093),High DEALS actions (60d) (SHAP: +0.570),8.0,1502617.0,UNKNOWN,
102,4346,0.422,,Long active usage tenure (SHAP: +4.445),Uses multiple CRM modules (SHAP: +0.233),High USERS users (7d) (SHAP: +0.168),3.0,1484985.0,UNKNOWN,
103,3426,0.42,,Long active usage tenure (SHAP: +2.129),High CONTACTS users (30d) (SHAP: +0.538),High ACTIONS actions (60d) (SHAP: +0.515),3.0,16000001.0,UNKNOWN,
104,2366,0.419,,Long active usage tenure (SHAP: +3.622),Uses multiple CRM modules (SHAP: +2.486),Actions Email Per User 60D (SHAP: +0.577),3.0,1144366.0,HEALTHCARE,
105,3350,0.419,,Long active usage tenure (SHAP: +5.723),Uses multiple CRM modules (SHAP: +1.746),Long time on free tier (SHAP: +0.524),8.0,16000001.0,UNKNOWN,
106,151,0.419,YES,Long active usage tenure (SHAP: +5.120),Uses multiple CRM modules (SHAP: +2.020),Strong web presence (low Alexa rank) (SHAP: +0.320),5500.0,2192188.0,UNKNOWN,
107,3960,0.418,,Long active usage tenure (SHAP: +5.308),Uses multiple CRM modules (SHAP: +1.587),High USERS users (7d) (SHAP: +0.193),8.0,16000001.0,UNKNOWN,
108,2618,0.417,,Long active usage tenure (SHAP: +3.318),Uses multiple CRM modules (SHAP: +2.256),Broad multi-module adoption (SHAP: +0.382),125.0,16000001.0,UNKNOWN,
109,2083,0.416,,Long active usage tenure (SHAP: +4.941),Broad multi-module adoption (SHAP: +1.260),High USERS users (60d) (SHAP: +0.633),18.0,7738855.0,TECH,
110,4845,0.411,,Long active usage tenure (SHAP: +4.916),Accelerating usage growth (SHAP: +0.988),Accelerating ACTIONS trend (60d) (SHAP: +0.758),8.0,16000001.0,UNKNOWN,
111,1523,0.409,,Long active usage tenure (SHAP: +4.391),Company size signal (SHAP: +0.609),High USERS users (7d) (SHAP: +0.243),8.0,16000001.0,UNKNOWN,
112,4602,0.408,,Long active usage tenure (SHAP: +4.762),Accelerating ACTIONS trend (60d) (SHAP: +1.156),High USERS users (7d) (SHAP: +0.128),38.0,16000001.0,AGRICULTURE,
113,3291,0.408,,Long active usage tenure (SHAP: +4.392),Uses multiple CRM modules (SHAP: +2.203),High USERS users (7d) (SHAP: +0.224),38.0,16000001.0,UNKNOWN,
114,3386,0.407,,Long active usage tenure (SHAP: +3.279),High DEALS actions (30d) (SHAP: +0.699),High ACTIONS actions (60d) (SHAP: +0.606),8.0,16000001.0,TECH,
115,3126,0.407,,Long active usage tenure (SHAP: +3.783),Recently active (SHAP: +0.428),Broad multi-module adoption (SHAP: +0.420),3.0,16000001.0,UNKNOWN,
116,4129,0.405,,Long active usage tenure (SHAP: +4.374),Recently active (SHAP: +0.442),High USERS users (7d) (SHAP: +0.274),125.0,16000001.0,UNKNOWN,
117,1710,0.404,,Long active usage tenure (SHAP: +2.684),High CONTACTS users (60d) (SHAP: +0.480),Recently active (SHAP: +0.459),3.0,16000001.0,UNKNOWN,
118,949,0.403,,Long active usage tenure (SHAP: +4.751),Broad multi-module adoption (SHAP: +1.407),Company size signal (SHAP: +0.471),8.0,3370133.0,HEALTHCARE,
119,4877,0.403,,Long active usage tenure (SHAP: +5.239),Uses multiple CRM modules (SHAP: +2.041),Strong web presence (low Alexa rank) (SHAP: +0.538),38.0,4425402.0,CONSUMER SERVICES,
120,4483,0.402,,Long active usage tenure (SHAP: +3.162),Accelerating usage growth (SHAP: +2.195),High CONTACTS users (30d) (SHAP: +0.866),8.0,16000001.0,MARKET RESEARCH,
121,2041,0.401,,Long active usage tenure (SHAP: +4.693),Uses multiple CRM modules (SHAP: +2.300),Actions Email Per User 60D (SHAP: +0.268),3.0,16000001.0,UNKNOWN,
122,2591,0.398,,Long active usage tenure (SHAP: +3.348),Broad multi-module adoption (SHAP: +1.688),High USERS users (7d) (SHAP: +0.173),18.0,16000001.0,UNKNOWN,
123,4420,0.396,,Long active usage tenure (SHAP: +2.541),High CONTACTS users (60d) (SHAP: +0.509),Accelerating ACTIONS trend (60d) (SHAP: +0.434),3.0,1618399.0,UNKNOWN,
124,662,0.394,,Long active usage tenure (SHAP: +4.412),Long time on free tier (SHAP: +0.627),Accelerating ACTIONS trend (60d) (SHAP: +0.483),125.0,16000001.0,BUILDING MATERIALS,
125,1549,0.392,,Long active usage tenure (SHAP: +2.372),Recently active (SHAP: +0.673),Broad multi-module adoption (SHAP: +0.624),3.0,16000001.0,UNKNOWN,
126,3520,0.392,,Long active usage tenure (SHAP: +4.857),Uses multiple CRM modules (SHAP: +1.361),Company size signal (SHAP: +0.367),600.0,23656.0,COSMETICS,
127,4315,0.389,,Long active usage tenure (SHAP: +2.573),Uses multiple CRM modules (SHAP: +1.533),Strong web presence (low Alexa rank) (SHAP: +0.418),3.0,4741618.0,UNKNOWN,
128,1857,0.388,,Long active usage tenure (SHAP: +4.945),Long time on free tier (SHAP: +0.811),Company size signal (SHAP: +0.274),8.0,16000001.0,CONSUMER ELECTRONICS,
129,3836,0.384,,Long active usage tenure (SHAP: +3.816),High USERS users (7d) (SHAP: +0.212),Pct Actions Crm Contacts 60D (SHAP: +0.112),18.0,16000001.0,UNKNOWN,
130,1640,0.383,,Long active usage tenure (SHAP: +5.068),Actions Email Per User 60D (SHAP: +0.314),Broad multi-module adoption (SHAP: +0.238),8.0,492842.0,TECH,
131,185,0.382,YES,Long active usage tenure (SHAP: +2.496),Strong web presence (low Alexa rank) (SHAP: +0.614),High CONTACTS actions (60d) (SHAP: +0.464),18.0,6426139.0,UNKNOWN,
132,2442,0.381,,Long active usage tenure (SHAP: +1.858),Accelerating ACTIONS trend (60d) (SHAP: +0.845),High EMAIL actions (60d) (SHAP: +0.530),3.0,16000001.0,UNKNOWN,
133,2880,0.38,,Long active usage tenure (SHAP: +4.274),Pct Actions Crm Contacts 60D (SHAP: +0.223),Accelerating ACTIONS trend (60d) (SHAP: +0.176),8.0,2046692.0,TECH,
